indicator;quantity_kind;source_unit;source_scale;canonical_unit;display_unit;display_multiplier;currency;price_basis;base_year;index_base;labour_concept;notes
gross_output.s.du;monetary;usd;1;usd;usd;1;usd;current;;;employment;
surplus_value.empe.r.pc;ratio;ratio;1;ratio;percent;100;none;not_applicable;;;employees;
capital_depreciation.s.us;monetary;usd;1;usd;usd;1;usd;current;;;not_applicable;
labour_force_value.m.mv;ratio;abstract_labour_hour_per_person;1;abstract_labour_hour_per_person;abstract_labour_hour_per_person;1;none;not_applicable;;;employees;
trade_transfers.s.mv;labour_value;abstract_labour_hour;1;abstract_labour_hour;abstract_labour_hour;1;none;not_applicable;;;employment;
trade_transfers.p.s.mv;labour_value;abstract_labour_hour;1;abstract_labour_hour;abstract_labour_hour;1;none;not_applicable;;;employment;
trade_transfers.u.s.mv;labour_value;abstract_labour_hour;1;abstract_labour_hour;abstract_labour_hour;1;none;not_applicable;;;employment;
abstract_labour.empe.m.mv;ratio;abstract_labour_hour_per_person;1;abstract_labour_hour_per_person;abstract_labour_hour_per_person;1;none;not_applicable;;;employees;
abstract_labour.emp.m.mv;ratio;abstract_labour_hour_per_person;1;abstract_labour_hour_per_person;abstract_labour_hour_per_person;1;none;not_applicable;;;persons_engaged;
exports.s.us;monetary;usd;1;usd;usd;1;usd;current;;;not_applicable;
exports.s.mv;labour_value;abstract_labour_hour;1;abstract_labour_hour;abstract_labour_hour;1;none;not_applicable;;;employment;
imports.s.us;monetary;usd;1;usd;usd;1;usd;current;;;not_applicable;
imports.s.mv;labour_value;abstract_labour_hour;1;abstract_labour_hour;abstract_labour_hour;1;none;not_applicable;;;employment;
trade_balance.s.us;monetary;usd;1;usd;usd;1;usd;current;;;not_applicable;
trade_balance.s.mv;labour_value;abstract_labour_hour;1;abstract_labour_hour;abstract_labour_hour;1;none;not_applicable;;;employment;
gdp.p.s.us;monetary;usd;1;usd;usd;1;usd;current;;;employment;
appropriated_profit.r.pc;ratio;ratio;1;ratio;percent;100;none;not_applicable;;;employment;
trade_transfers.p.m.pc;ratio;ratio;1;ratio;percent;100;none;not_applicable;;;employment;
labour_force_value.emp.s.mv;labour_value;abstract_labour_hour;1;abstract_labour_hour;abstract_labour_hour;1;none;not_applicable;;;persons_engaged;
labour_force_value.emp.m.mv;ratio;abstract_labour_hour_per_person;1;abstract_labour_hour_per_person;abstract_labour_hour_per_person;1;none;not_applicable;;;persons_engaged;
surplus_value.emp.r.pc;ratio;ratio;1;ratio;percent;100;none;not_applicable;;;persons_engaged;
surplus_value.emp_p.r.pc;ratio;ratio;1;ratio;percent;100;none;not_applicable;;;persons_engaged;
surplus_value.empe_p.r.pc;ratio;ratio;1;ratio;percent;100;none;not_applicable;;;employees;
