indicator;pt;en
surplus_value.empe_ms.r.pc;Mesma fórmula da taxa por qualificação, usando as parcelas de média qualificação.;Skill-specific surplus-value formula using medium-skill hours and compensation shares.
surplus_value.empe_ls.r.pc;Mesma fórmula da taxa por qualificação, usando as parcelas de baixa qualificação.;Skill-specific surplus-value formula using low-skill hours and compensation shares.
compensation.emp.s.cu;Remuneração de todas as pessoas ocupadas, deflacionada pelo índice da cesta e convertida pelo câmbio de 2000. O sufixo cu não significa moeda local neste resultado.;All-persons-engaged compensation, deflated by the basket index and converted at the 2000 exchange rate. The cu suffix does not mean local-currency storage here.
compensation.empe.s.cu;Remuneração dos empregados deflacionada pelo índice da cesta e convertida pelo câmbio de 2000.;Employee compensation deflated by the basket index and converted at the 2000 exchange rate.
profit.s.us;Remuneração do capital (CAP), incluindo lucro e outras rendas do capital: não é uma observação direta de mais-valia.;Capital compensation (CAP), including profit and other capital income: not a direct observation of surplus value.
capital_stock.s.cu;Estoque de capital em USD constantes de 2000, deflacionado pelo preço do produto e convertido pelo câmbio de 2000.;Capital stock in constant 2000 USD, deflated by the output-price index and converted at the 2000 exchange rate.
basket_price.r.pc;Índice nacional do preço da cesta fixa de consumo, rebaseado em 2000. Cesta de referência: 1995 em WIOD13, 2000 em WIOD16.;National price index of the fixed consumption basket, rebased to 2000. Reference basket: 1995 for WIOD13, 2000 for WIOD16.
exchange.r.id;Câmbio nacional dividido pelo câmbio de 2000. Uma alta indica mais moeda local por USD.;National exchange rate divided by its 2000 level. An increase means more local currency per USD.
basket_value.r.pc;Índice nacional do trabalho incorporado na cesta fixa de consumo, rebaseado em 2000.;National index of labour embodied in the fixed consumption basket, rebased to 2000.
go_price.r.id;Índice de preço do produto bruto de cada setor, rebaseado em 2000.;Sector gross-output price index, rebased to 2000.
abstract_labour.empe.s.mv;Horas dos empregados multiplicadas pelo fator de trabalho complexo. Inclui setores produtivos e improdutivos.;Employee hours multiplied by the complex-labour factor. Includes productive and unproductive sectors.
abstract_labour.emp.s.mv;Horas de todas as pessoas ocupadas multiplicadas pelo fator de trabalho complexo.;All-persons-engaged hours multiplied by the complex-labour factor.
complex_labour_multiplier.empe.r.un;Fator aplicado às horas dos empregados. Nos dois métodos atuais vale 1: uma hora recebe o mesmo peso.;Factor applied to employee hours. Equals 1 in both current methods: every hour receives equal weight.
complex_labour_multiplier.emp.r.un;Fator aplicado às horas de todas as pessoas ocupadas. Nos dois métodos atuais vale 1.;Factor applied to all-persons-engaged hours. Equals 1 in both current methods.
gdp.s.mv;Trabalho abstrato de todas as pessoas ocupadas nos setores classificados como produtivos. Os demais setores recebem zero pelo filtro econômico.;Abstract labour of all persons engaged in industries classified as productive. Other industries receive zero under the economic filter.
gross_output.s.mv;Trabalho produtivo total incorporado ao produto bruto, direto e indireto, pela soma das linhas da matriz values.;Total productive labour embodied in gross output, directly and indirectly, from row sums of the values matrix.
labour_force_value.s.mv;Valor da cesta de consumo financiada pela remuneração dos empregados, usado como estimativa do capital variável.;Value of the consumption basket financed by employee compensation, used as an estimate of variable capital.
value.m.mv;Trabalho produtivo incorporado por USD de produto bruto: lambda no setor, razão dos totais nos agregados.;Productive labour embodied per USD of gross output: lambda at sector level, ratio of totals at aggregate levels.
gdp.s.du;PIB em horas produtivas convertido pelo fator mundial produto bruto em USD dividido pelo produto bruto em horas. Preço direto modelado.;GDP in productive hours converted by the world ratio of gross output in USD to gross output in hours. Modelled direct price.
gross_output.s.du;Produto bruto em horas convertido pelo mesmo fator mundial USD por hora, preservando o total mundial em USD.;Gross output in hours converted by the same world USD-per-hour factor, preserving the world USD total.
surplus_value.empe.r.pc;Trabalho abstrato dos empregados dividido pelo valor da força de trabalho, menos 1. Inclui setores produtivos e improdutivos.;Employee abstract labour divided by labour-force value, minus 1. Includes productive and unproductive sectors.
capital_depreciation.s.us;Depreciação anual do capital alocado, somada por coluna da matriz k_depreciation.;Annual depreciation of allocated capital, summed by column of k_depreciation.
labour_force_value.m.mv;Valor da força de trabalho dividido pelo número de empregados: custo anual médio de reprodução em horas.;Labour-force value divided by employees: average annual reproduction cost in hours.
trade_transfers.s.mv;Transferência líquida pelo comércio: valor representado pelos preços menos trabalho incorporado, exportações menos importações. Positivo indica recebimento líquido.;Net trade transfer: value represented by prices minus embodied labour, exports minus imports. Positive means net receipt.
trade_transfers.p.s.mv;Componente produtivo da transferência líquida pelo comércio. Sua soma mundial é zero dentro da tolerância.;Productive component of net trade transfers. Its world sum is zero within tolerance.
trade_transfers.u.s.mv;Transferência total menos o componente produtivo. É um saldo de exportações menos importações, distinto da soma das células da matriz bilateral.;Total transfer minus the productive component. This is an exports-minus-imports balance, distinct from summing bilateral matrix cells.
abstract_labour.empe.m.mv;Trabalho abstrato anual dos empregados dividido pelo número de empregados. Não é a duração de um dia de trabalho.;Annual employee abstract labour divided by employee count. This is not the length of one working day.
abstract_labour.emp.m.mv;Trabalho abstrato anual de todas as pessoas ocupadas dividido pelo seu número.;Annual all-persons-engaged abstract labour divided by their count.
exports.s.us;Vendas a outros países, incluindo demanda final, avaliadas em preços de mercado.;Sales to other countries, including final demand, at market prices.
exports.s.mv;Trabalho produtivo incorporado às exportações.;Productive labour embodied in exports.
imports.s.us;Compras de outros países em preços de mercado. No dado setorial, agrupadas pelo setor do bem importado e país comprador.;Purchases from other countries at market prices. Sector results group by the imported good's sector and purchasing country.
imports.s.mv;Trabalho produtivo incorporado às importações, no mesmo agrupamento das importações em USD.;Productive labour embodied in imports, grouped as for USD imports.
trade_balance.s.us;Exportações menos importações em USD.;Exports minus imports in USD.
trade_balance.s.mv;Exportações menos importações em trabalho incorporado.;Exports minus imports in embodied labour.
gdp.p.s.us;Valor adicionado em USD somente nos setores produtivos. Zero nos demais setores pelo filtro econômico.;USD value added in productive sectors only. Zero in other sectors under the economic filter.
appropriated_profit.r.pc;Remuneração do capital menos depreciação, dividida pelo estoque de capital. Aproximação contábil da rentabilidade, distinta de mais-valia dividida por capital constante mais variável.;Capital compensation minus depreciation, divided by capital stock. An accounting profitability approximation, distinct from surplus value divided by constant plus variable capital.
trade_transfers.p.m.pc;Transferência produtiva pelo comércio dividida pelo trabalho abstrato produtivo (gdp.s.mv). Mede a transferência relativamente ao valor novo produzido.;Productive trade transfers divided by productive abstract labour (gdp.s.mv). Measures transfers relative to newly produced value.
labour_force_value.emp.s.mv;Trabalho incorporado à cesta financiada pela remuneração de todas as pessoas ocupadas, incluindo não assalariados.;Labour embodied in the basket financed by all-persons-engaged compensation, including non-employees.
labour_force_value.emp.m.mv;Valor da cesta de todas as pessoas ocupadas dividido pelo número de pessoas ocupadas.;All-persons-engaged basket value divided by persons engaged.
surplus_value.emp.r.pc;Trabalho abstrato de todas as pessoas ocupadas dividido pelo valor de sua cesta, menos 1. Inclui não assalariados e setores improdutivos.;All-persons-engaged abstract labour divided by their basket value, minus 1. Includes non-employees and unproductive sectors.
surplus_value.emp_p.r.pc;Taxa de todas as pessoas ocupadas, restrita aos setores produtivos. Agregados usam razão de totais, menos 1.;All-persons-engaged rate restricted to productive industries. Aggregates use a ratio of totals, minus 1.
surplus_value.empe_p.r.pc;Taxa dos empregados, restrita aos setores produtivos. Agregados usam razão de totais, menos 1.;Employee rate restricted to productive industries. Aggregates use a ratio of totals, minus 1.
